Details for Count of Status - Integration Category: Hybrid: On-premise to Cloud,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Phase,Application (To System),Interfaces,Source System,Destination System,Integration Category,Type,Process Type,Frequency,Status,Treatment,Last Deployment,Comments
,19- CAD ,MW.CAD.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-06-12 08:35:41,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,02-Maximo,MW.Maximo.FinanceOneIntegration,Maximo,FinanceOne,Hybrid: On-premise to Cloud,API,Schedule,Daily 5:30 pm,PROD,CAPEX,2019-07-02 10:51:10,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,19- CAD ,MW.CAD.BusinessRules,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-06-12 08:34:15,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,03-Kronos-Maximo,MW.MaximoKronos,Maximo,Kronos,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2020-11-19 07:24:53,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,04-Liquid-EnviroSys,MW.Liquid.InfloIntegration,Envirosys,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 10:48:24,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.Withdrawal,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:39:49,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.InfloIntegration,Project Online,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 11:14:42,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.MaximoIntegration,Project Online,Maximo,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2021-06-30 04:35:00,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,17-Incentive,MW.Incentive.Grants.NearByCases,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:38:34,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,07-SmartRainGrid,MW.SCADA.SmartRainGrid,OSPI,SmartRain Grid,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2026-01-19 09:18:20,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,07-SmartRainGrid,MW.SCADA.SmartRainGrid.TokenProcess,OSPI,SmartRain Grid,Hybrid: On-premise to Cloud,API,Schedule,Every 15 min,PROD,CAPEX,2026-01-19 09:19:41,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.BusinessRules,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2024-11-21 08:09:50,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.Cleansing,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 09:36:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.CreatePolygonSite,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 09:39:43,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
