Phase,Application (To System),Interfaces,Source System,Destination System,Integration Category,Type,Process Type,Frequency,Status,Treatment,Last Deployment,Comments
,01-PageUp-Chris21,MW.PageUpChris21.Integration,Chris21,PageUp,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2024-04-15 08:24:44,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,02-Maximo,MW.Maximo.FinanceOneIntegration,Maximo,FinanceOne,Hybrid: On-premise to Cloud,File base,Schedule,Daily 5:30 pm,PROD,CAPEX,2019-07-02 10:51:10,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
Phase 1,02-Maximo,MW.Mobility.Maximo.Attachment,Maximo,Mobility,On-premise to On-premise ,API,,Real Time,PROD,CAPEX,2019-07-12 06:38:57,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,03-Kronos-Maximo,MW.Kronos.Common,common which supports integrations,Kronos,Hybrid: On-premise to Cloud,API,,,,CAPEX,2020-11-06 01:43:57,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,03-Kronos-Maximo,MW.MaximoKronos,Maximo,Kronos,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2020-11-19 07:24:53,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,04-Liquid-EnviroSys,MW.Liquid.InfloIntegration,Envirosys,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 10:48:24,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.FinanceOneIntegration,Project Online,FinanceOne,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2019-07-02 11:12:24,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.CommonComponents,only common techincal code related to integrations is present no buisness functinality,FinanceOne,Hybrid: On-premise to Cloud,,,,,CAPEX,2019-07-02 11:16:14,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.InfloIntegration,Project Online,Inflo,Hybrid: On-premise to Cloud,File base,,Real Time,PROD,CAPEX,2019-07-02 11:14:42,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.MaximoIntegration,Project Online,Maximo,Hybrid: On-premise to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2021-06-30 04:35:00,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,06- IRIS,MW.HR.IRIS.UserMgmtIntegration,Chris21,IRIS,Cloud  to Cloud,File base,Batch,Daily based on file placed event,PROD,CAPEX,2022-04-26 02:17:52,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,07-SmartRainGrid,MW.SCADA.SmartRainGrid,OSPI,SmartRain Grid,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2026-01-19 09:18:20,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
